age,num_issues
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,0
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,1
17-24,2
17-24,2
17-24,2
17-24,2
17-24,2
17-24,2
17-24,2
17-24,2
17-24,2
17-24,3
17-24,3
17-24,3
17-24,3
17-24,3
17-24,3
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,0
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,1
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,2
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
25-35,3
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,0
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,1
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,2
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
36-49,3
50-65,0
50-65,0
50-65,0
50-65,0
50-65,0
50-65,0
50-65,0
50-65,0
50-65,0
50-65,0
50-65,0
