age,num_articles,reading_level
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,0,None
17-24,1,Low (1-5)
17-24,1,Low (1-5)
17-24,1,Low (1-5)
17-24,1,Low (1-5)
17-24,1,Low (1-5)
17-24,1,Low (1-5)
17-24,1,Low (1-5)
17-24,1,Low (1-5)
17-24,1,Low (1-5)
17-24,1,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,2,Low (1-5)
17-24,3,Low (1-5)
17-24,3,Low (1-5)
17-24,3,Low (1-5)
17-24,3,Low (1-5)
17-24,3,Low (1-5)
17-24,3,Low (1-5)
17-24,3,Low (1-5)
17-24,3,Low (1-5)
17-24,3,Low (1-5)
17-24,4,Low (1-5)
17-24,4,Low (1-5)
17-24,4,Low (1-5)
17-24,4,Low (1-5)
17-24,4,Low (1-5)
17-24,5,Low (1-5)
17-24,5,Low (1-5)
17-24,5,Low (1-5)
17-24,5,Low (1-5)
17-24,5,Low (1-5)
17-24,5,Low (1-5)
17-24,5,Low (1-5)
17-24,5,Low (1-5)
17-24,5,Low (1-5)
17-24,5,Low (1-5)
17-24,6,High (6-10)
17-24,6,High (6-10)
17-24,6,High (6-10)
17-24,7,High (6-10)
17-24,7,High (6-10)
17-24,7,High (6-10)
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,0,None
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,1,Low (1-5)
25-35,2,Low (1-5)
25-35,2,Low (1-5)
25-35,2,Low (1-5)
25-35,2,Low (1-5)
25-35,2,Low (1-5)
25-35,2,Low (1-5)
25-35,2,Low (1-5)
25-35,2,Low (1-5)
25-35,2,Low (1-5)
25-35,2,Low (1-5)
25-35,2,Low (1-5)
25-35,3,Low (1-5)
25-35,3,Low (1-5)
25-35,3,Low (1-5)
25-35,3,Low (1-5)
25-35,3,Low (1-5)
25-35,3,Low (1-5)
25-35,3,Low (1-5)
25-35,3,Low (1-5)
25-35,4,Low (1-5)
