age,website_only
17-24,Unsure
17-24,Unsure
17-24,Unsure
17-24,Unsure
17-24,Unsure
17-24,Unsure
17-24,Unsure
17-24,Unsure
17-24,Unsure
17-24,Unsure
17-24,Unsure
17-24,Unsure
17-24,Unsure
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,No
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
17-24,Yes
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,Unsure
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,No
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
25-35,Yes
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,Unsure
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,No
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
36-49,Yes
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
50-65,Unsure
